market_id,model,n_train,n_test,rmse,mae,mape,directional_acc
508816,naive,178,45,0.3296323962638786,0.15265555555555557,1.5182453146258303,0.0
508816,ma5,178,45,0.30182406207001533,0.24064888888888894,1.3347367842674427,0.0
508816,arima,178,45,0.2999377877603123,0.21879907668810342,1.3628443910356096,0.22727272727272727
507869,naive,177,45,0.4061776362901117,0.18423333333333342,7.985981073344841,0.022727272727272728
507869,ma5,177,45,0.41645740878670096,0.4093200000000001,5.066268466145734,0.022727272727272728
507869,arima,177,45,0.3634948061201283,0.25729320139015155,6.819743663429713,0.25
508804,naive,177,45,0.15235432021734366,0.08925555555555557,0.21454886944991114,0.022727272727272728
508804,ma5,177,45,0.17721903271250403,0.1674866666666667,0.289180979510601,0.022727272727272728
508804,arima,177,45,0.14634541012019156,0.10173024536965285,0.22070306064679449,0.20454545454545456
507864,naive,176,44,0.39558820559906854,0.15867045454545456,79.46025088276029,0.37209302325581395
507864,ma5,176,44,0.4345406166286416,0.42844318181818186,48.07510810514296,0.37209302325581395
507864,arima,176,44,0.3639098224205856,0.2819214709091931,65.14753248462954,0.2558139534883721
507871,naive,175,44,0.3650475996359927,0.16686363636363638,2.435117229056114,0.06976744186046512
507871,ma5,175,44,0.3340981197737629,0.2678545454545454,2.1101461255802367,0.06976744186046512
507871,arima,175,44,0.33399981801163975,0.2594409337749472,2.138433456575242,0.2558139534883721
507875,naive,174,44,0.8835663046838801,0.8006022727272728,0.9989315316342666,0.2558139534883721
507875,ma5,174,44,0.4371142847752124,0.4306840909090909,14.17147637668536,0.2558139534883721
507875,arima,174,44,0.38034540650694826,0.30498547434836687,18.5584905487906,0.27906976744186046
507888,naive,174,44,0.9002506090477858,0.814477272727273,0.8761967134293591,0.4883720930232558
507888,ma5,174,44,0.4410636163144311,0.4343636363636364,51.14119265958111,0.4883720930232558
507888,arima,174,44,0.3839415923565843,0.3016790187959382,68.39832952630337,0.2558139534883721
507873,naive,173,44,0.42538928695319245,0.18181818181818185,272.13679567056255,0.627906976744186
507873,ma5,173,44,0.44244244618008594,0.4357272727272727,163.64538617467338,0.627906976744186
507873,arima,173,44,0.3859192839233296,0.3109861116206446,217.22911454962411,0.32558139534883723
507872,naive,172,43,0.4228146963409154,0.1874651162790698,37.40171734572583,0.19047619047619047
507872,ma5,172,43,0.3841685525185346,0.31020930232558136,30.106243302832745,0.19047619047619047
507872,arima,172,43,0.3861185161882625,0.31780997378987363,29.773658040629027,0.38095238095238093
508818,naive,170,43,0.3567484619676433,0.14062790697674418,6.108924069670823,0.023809523809523808
508818,ma5,170,43,0.4109066444645502,0.4053744186046512,3.987319483380227,0.023809523809523808
508818,arima,170,43,0.3321856779603475,0.2592290692000205,5.106722187379214,0.2619047619047619
508817,naive,169,43,0.38952779254218906,0.19447674418604644,2.757807016869223,0.023809523809523808
508817,ma5,169,43,0.3377260139004934,0.2591627906976744,2.2920924084417886,0.023809523809523808
508817,arima,169,43,0.3384005588626622,0.2549902261287511,2.3098387832152456,0.2857142857142857
508805,naive,168,42,0.42725245548069785,0.18810714285714283,24.47033215396757,0.14634146341463414
508805,ma5,168,42,0.4364297813481787,0.4296214285714286,15.037978454491476,0.14634146341463414
508805,arima,168,42,0.386076017412177,0.30953383710575827,19.78868941864597,0.24390243902439024
508819,naive,167,42,0.34373878336678304,0.17896428571428571,1.336002908778215,0.04878048780487805
508819,ma5,167,42,0.31079418507460926,0.2532404761904762,1.1972590286105753,0.04878048780487805
508819,arima,167,42,0.31513819491175843,0.224562940495835,1.242000570363778,0.2926829268292683
508808,naive,166,42,0.330042710078848,0.12290476190476192,6.9979046964074385,0.04878048780487805
508808,ma5,166,42,0.3296591775354258,0.12364761904761905,6.990065855144938,0.04878048780487805
508808,arima,166,42,0.32626514010382496,0.2732322355675653,5.731397297188742,0.36585365853658536
508810,naive,166,42,0.34258420932113975,0.11866666666666668,32.92861137944252,0.6097560975609756
508810,ma5,166,42,0.34234426699282866,0.11920000000000004,32.90601559958073,0.6097560975609756
508810,arima,166,42,0.3301701722008163,0.2643035050273114,26.777201964874155,0.36585365853658536
507856,naive,165,42,0.8961896987750285,0.8065476190476192,1.0773383483743335,0.6097560975609756
507856,ma5,165,42,0.44400734335411723,0.4371000000000001,110.48050125324765,0.6097560975609756
507856,arima,165,42,0.4002794589303598,0.3578793222042556,133.1812996907776,0.3902439024390244
507862,naive,165,42,0.8958853229653683,0.8062142857142857,0.9631086366536604,0.4146341463414634
507862,ma5,165,42,0.44295860227941547,0.435852380952381,80.02091328316871,0.4146341463414634
507862,arima,165,42,0.4008119001864594,0.3601501415492248,95.67211038211344,0.4146341463414634
508807,naive,165,42,0.8972744643004806,0.8073333333333333,0.8559270693541385,0.4634146341463415
508807,ma5,165,42,0.4439685526186351,0.43701904761904753,95.32345185159409,0.4634146341463415
508807,arima,165,42,0.40092583095677087,0.3596001785994788,114.51146667974552,0.3902439024390244
507860,naive,164,41,0.4400172391301361,0.19563414634146342,197.68419591525065,0.4
507860,ma5,164,41,0.4397542650828263,0.19599999999999998,197.56565489881896,0.4
507860,arima,164,41,0.39842604350126953,0.28756622056873815,168.24849782636272,0.4
507892,naive,164,41,0.4394669720379396,0.19575609756097562,178.50523635728143,0.55
507892,ma5,164,41,0.43911715865403195,0.19624390243902443,178.36242011622994,0.55
507892,arima,164,41,0.3976189564750295,0.29035771236000574,151.12162896484153,0.45
508820,naive,164,41,0.4206310735074146,0.19958536585365852,61.0465079192796,0.125
508820,ma5,164,41,0.41756054212708293,0.20273170731707324,60.57047164102434,0.125
508820,arima,164,41,0.3862707532297118,0.27816608661472286,52.93079798996164,0.375
507890,naive,158,40,0.3851402666561886,0.1507,81.70689678386972,0.5641025641025641
507890,ma5,158,40,0.35935822656508093,0.28972,65.56242141881553,0.5641025641025641
507890,arima,158,40,0.35612273144134465,0.25314187409661837,69.90355539380616,0.41025641025641024
508800,naive,157,40,0.4443115461025068,0.20005000000000006,54.068861775766436,0.3333333333333333
508800,ma5,157,40,0.44431154610250684,0.20005000000000014,54.06886177576645,0.3333333333333333
508800,arima,157,40,0.4062929687094848,0.26618323425862556,47.980527359726835,0.358974358974359
508815,naive,157,40,0.44573311802018933,0.199725,115.4599722010042,0.48717948717948717
508815,ma5,157,40,0.4455540287103238,0.19976500000000003,115.41375889216052,0.48717948717948717
508815,arima,157,40,0.4098260421847309,0.2625540914188805,103.39375705038572,0.23076923076923078
